sepal_length,sepal_width,petal_length,petal_width,classes,test,org_pred_classes_QSM,petal_length_shifted_by_0.05,pred_with_petal_length_shifted_by_0.05
6.2,3.4,5.4,2.3,2,2,2,5.5,2
6.2,2.8,4.8,1.8,2,2,2,5.0,2
6.3,3.3,6.0,2.5,2,2,2,6.0,2
6.3,2.9,5.6,1.8,2,2,2,5.7,2
6.3,2.7,4.9,1.8,2,2,2,5.1,2
6.3,3.4,5.6,2.4,2,2,2,5.7,2
6.3,2.5,5.0,1.9,2,2,2,5.1,2
6.4,3.1,5.5,1.8,2,2,2,5.6,2
6.4,2.8,5.6,2.2,2,2,2,5.7,2
6.4,2.8,5.6,2.1,2,2,2,5.7,2
6.4,3.2,5.3,2.3,2,2,2,5.4,2
6.4,2.7,5.3,1.9,2,2,2,5.4,2
6.5,3.0,5.5,1.8,2,2,2,5.6,2
6.5,3.0,5.8,2.2,2,2,2,5.9,2
6.5,3.2,5.1,2.0,2,2,2,5.2,2
6.5,3.0,5.2,2.0,2,2,2,5.3,2
6.7,3.0,5.2,2.3,2,2,2,5.3,2
6.7,3.1,5.6,2.4,2,2,2,5.7,2
6.7,3.3,5.7,2.5,2,2,2,5.8,2
6.7,2.5,5.8,1.8,2,2,2,5.9,2
6.7,3.3,5.7,2.1,2,2,2,5.8,2
6.8,3.0,5.5,2.1,2,2,2,5.6,2
6.8,3.2,5.9,2.3,2,2,2,6.0,2
6.9,3.1,5.1,2.3,2,2,2,5.2,2
6.9,3.2,5.7,2.3,2,2,2,5.8,2
6.9,3.1,5.4,2.1,2,2,2,5.5,2
7.1,3.0,5.9,2.1,2,2,2,6.0,2
