dim_00,dim_01,dim_02,dim_03,dim_04,rand_00,rand_01,rand_02,classes,pred_classes,org_pred,source,dim_04_org
-2.503907641891048,-4.283701330323513,-2.307954310728065,-1.6085963719389378,4.224516823077772,-386.8515180074897,855.9598576937403,67.98370290808694,5,5,5,0_0,4.126598773841158
-0.2640507295355656,-3.913564963450419,-0.904239113876652,-2.362909110073346,3.3753949324830006,-591.7724580913421,858.865565556788,-21.61818952497404,5,5,5,0_0,3.13539239405385
-2.0074308492542525,-3.8973274886871137,-2.9415696902159745,-2.019386267095754,3.455981087134959,-848.2160565024305,860.4485841784142,85.5277026665382,5,5,5,0_0,3.317828478372477
-1.2869570505041956,-3.650722521983564,-2.1750930013885004,-3.092017436341308,4.763582888197526,-450.3439489390887,858.9670836049522,-36.29466675936288,5,5,5,0_0,4.647025823548995
-2.0483229833575267,-3.628976402284749,-0.8854549936520753,-1.116853162638474,3.3753949324830006,74.4378335898802,858.068402995505,-10.970045676048272,5,5,5,0_0,3.136457251638406
-2.356754971088928,-3.617438911969558,-1.3233577019496574,-1.3417737753327978,3.8228657575048937,-150.74125285764703,861.637106090781,97.98876375969614,5,5,5,0_0,3.735321141400932
-1.7622045812959009,-3.596425424361391,-1.6658553982084794,-0.6677184659011752,3.723424310674595,-527.6397536250795,863.8011447939745,-26.75974340371394,5,5,5,0_0,3.661905088452844
-1.8410559923620744,-3.487469417328046,-3.998448813994352,-2.4098993925413548,3.617111814868117,-728.9793288074693,859.2974072047988,31.25072339664206,5,5,5,0_0,3.5041876907873504
-1.8361928940785728,-3.4735182183662863,-3.0855484557596604,-1.3488153118418071,4.668706923540159,-72.34644450485132,856.2321173596702,30.88725403651817,5,5,5,0_0,4.569798131911135
-2.0704729952232586,-3.443090234049892,-3.774678208040865,-2.084655005998158,4.608142237502506,-127.08052596761873,863.6513862710827,-13.917485384847469,5,5,5,0_0,4.53042357447457
-2.621897187876725,-3.396565946287722,-1.153748655343363,-1.525975754145791,4.044885264652584,-598.9922225941498,858.8441162363059,35.800151955817256,5,5,5,0_0,3.9863113459107913
-3.23424257459432,-3.39377735410822,-2.477129126375104,-1.9878536459676532,4.524251199620974,-577.452681732088,860.0943049948552,-38.623828533282136,5,5,5,0_0,4.458512665959658
-2.5975386280561343,-3.338315121049259,-2.7729253786963337,-2.3255081956035,4.112321941170203,-114.3815091253426,855.7438423293747,9.641227120783212,5,5,5,0_0,4.044885264652584
-2.0447363588177705,-3.328866732453738,-1.826653504828571,-2.6327054333556523,4.126598773841158,-645.5420228788232,859.4230282344656,-89.45774998631592,5,5,5,0_0,4.068063635811056
-1.8055012331896856,-3.27829770759587,-1.696475681915912,-2.1029275570816446,4.675367590148372,-203.7709579263166,862.4527279217025,37.8190868029631,5,5,5,0_0,4.605597459832876
-2.075859385024698,-3.2657414106769016,-2.045912562401234,-2.868901039345128,3.54305417303642,5.938879303242857,861.6220214448343,55.08172117187958,5,5,5,0_0,3.469079356031671
-1.3102211904904184,-3.2567051657007298,-3.4249267315725067,-3.2359498773414077,4.336801724572455,110.47794948138908,861.0003404122463,48.94117054611213,5,5,5,0_0,4.252114138609364
-2.6475046568662037,-3.250427445257003,-2.442471853531306,-2.543384522554364,4.097207658319585,-755.3341879811455,860.1810404137769,-32.43207327441812,5,5,5,0_0,4.0172670055980815
-2.332080231170696,-3.234494582354296,-2.6090842158471528,-0.7069599658224668,4.0172670055980815,-792.7008776258456,863.8255049971548,-68.31620346524087,5,5,5,0_0,3.9818298403826073
-2.825564193675548,-3.221734285271718,-0.6580983297556084,-2.158556541103776,4.004945030753979,-93.80475466986589,857.5033859952017,4.02752484979851,5,5,5,0_0,3.975762985720469
-2.55855973968884,-3.209506735650571,-1.7713573705642136,-2.461135661067875,3.955318607115932,-327.9207639100522,858.5382034317664,34.79838522807766,5,5,5,0_0,3.906568149631078
-2.090784516705713,-3.187245331939468,-2.471465785141889,-1.2389550045604132,3.9201717528274655,-459.5504975454528,861.8181499378326,-56.28464198382608,5,5,5,0_0,3.869882269830403
