      0.365933449899; 0;1;4
      0.364399697815; 0;1
      0.343125290563; 1;4
      0.339637377964; 0;4
      0.326849986990; 0;1;3;4
      0.319261685601; 0;1;3
      0.317421687222; 0;3;4
      0.312652184537; 1;3;4
      0.309947124872; 0;1;2;4
      0.306697466295; 1;3
      0.300680944922; 1;2;4
      0.299607155214; 0;2;4
      0.296616108787; 2;3
      0.296595499623; 0;1;2;3;4
      0.296277889207; 0;2;3;4
      0.291287562862; 0;1;2
      0.286684100418; 1;2
      0.285775814968; 1;2;3;4
      0.284066713157; 0;3
      0.282806647923; 0;1;3;4;5
      0.273002152867; 0;1;4;6
      0.268020106927; 0;2
      0.267827173408; 3;4
      0.264916870164; 2;3;4
      0.264844081144; 0;1;4;5
      0.258545443980; 2;4
      0.255897072113; 0;3;4;6
      0.255853715335; 0;1;3;4;6
      0.255806561688; 0;1;4;7
      0.254335208436; 0;3;4;5
      0.252412974406; 1;2;3
      0.245747615399; 0;2;3
      0.243389720518; 0;1;5
      0.243242235355; 0;1;3;4;7
      0.240953647938; 0;1;7
      0.238850516978; 0;1;6
      0.236793807618; 1;2;4;5
      0.235940293229; 0;1;2;3
      0.235832597961; 1;3;4;6
      0.235440029859; 1;3;4;7
      0.235183077279; 0;1;2;4;5
      0.233801240592; 0;1;2;3;4;6
      0.231983341263; 0;1;2;4;6
      0.231540662578; 0;1;2;4;7
      0.227847283942; 0;2;3;4;5
      0.225783461725; 0;2;4;5
      0.224198612849; 0;1;2;3;4;7
      0.223401443195; 1;2;3;4;6
      0.220771298478; 0;2;3;4;7
      0.220122838733; 1;2;4;7
      0.219987637186; 1;4;6
      0.218982258426; 1;2;4;6
      0.218308124164; 1;2;3;4;5
      0.217063060086; 1;2;3;4;7
      0.215471944820; 1;3;4;5
      0.214242358462; 0;1;3;7
      0.213070886403; 0;2;3;4;6
      0.212534113867; 1;4;7
      0.211810587980; 0;1;2;3;4;5
      0.211160522864; 0;3;4;7
      0.210897122818; 0;1;2;6
      0.210750949707; 1;2;6
      0.210273260735; 0;1;3;4;6;7
      0.209309380950; 0;1;3;5
      0.209036328161; 1;3;4;6;7
      0.208827375244; 1;2;3;7
      0.208567566290; 0;1;2;3;6
      0.206270023070; 0;1;3;4;5;6
      0.206234963374; 1;3;7
      0.206038885343; 0;4;6
      0.206037199684; 0;3;4;6;7
      0.206027359428; 0;1;2;3;4;5;7
      0.205386960782; 0;1;2;4;5;6
      0.203749281785; 0;4;5
      0.202793774699; 0;1;3;4;5;7
      0.201729375708; 0;1;2;7
      0.201656538893; 1;2;3;6
      0.201260631525; 0;1;3;6
      0.200519048095; 1;3;6
      0.199852290822; 0;4;7
      0.199575906057; 1;3;5
      0.198791770691; 1;2;5
      0.198437833079; 0;1;2;3;4;5;6
      0.198289703179; 3;4;7
      0.197509006891; 0;2;4;6
      0.195976652915; 0;2;3;7
      0.195568445163; 0;1;4;6;7
      0.195425575286; 0;1;2;5
      0.195419356337; 0;2;3;5
      0.195407336985; 2;3;4;5
      0.194811180846; 0;2;4;7
      0.193489383728; 0;3;4;5;6
      0.193436011737; 1;3;4;5;6
      0.192449584749; 1;2;3;5
      0.192445650929; 3;4;6
      0.191995201611; 2;3;4;6
      0.191046521768; 0;2;7
