classes,dim_00,dim_01,dim_02,dim_03,dim_04,rand_00,rand_01,rand_02,test,org_pred_classes_QSM,dim_04_shifted_by_0.05,pred_with_dim_04_shifted_by_0.05
5,-1.7506777151961774,-1.1799126779345812,-2.4781341466038858,-1.6681816873689672,3.777530321590674,-178.99488604644057,863.1579434828716,-0.4903353638602397,5,5,5.355677969232506,2
5,-1.8349105829396395,-1.171645266866444,-1.769017597592131,-0.2760570580934862,4.276866595261853,-362.02688176138497,860.7344426750634,-52.7701150995224,5,5,5.483214036983189,2
5,-2.8764155110764498,-1.170957686342016,-1.0845655451520488,-4.536340588702444,3.605936675495296,-108.96488261755805,861.9856867962677,-48.70781302221423,5,5,5.274898186955388,2
0,-0.9895605687024656,-1.1584674731978593,0.461657701744432,0.1494134115816626,0.4926904191246662,-545.3257928245475,861.438469989294,74.27785003944678,0,0,0.7746832680591984,0
0,1.2304292531727754,-1.1486897209435516,-1.841536931788468,-1.6587121859265197,1.041060238365953,-422.06046982045774,861.484779499845,-97.11368048879402,0,0,1.2548983981517536,0
5,-2.590445666929113,-1.1397252784344818,-2.3959723842944585,-2.1988926830133417,3.7518874391039647,-689.3310914171004,859.216564504822,-52.56146749990455,5,5,5.32356507361368,2
5,-4.406105871755006,-1.1359551526885516,-1.6625759405993032,-3.64028596582736,4.304852205052649,137.50303000366,858.3015439033477,1.7019670755536822,5,5,5.484771781795049,2
0,-1.056365290467421,-1.1259710195012442,-0.1624363088343941,-0.6043063458826581,1.832275038380793,-547.4444523519928,857.506601881477,-97.90818142604276,0,0,1.967157377074086,1
0,-0.1873226997786687,-1.102135494365673,-0.3600523771833949,0.3307479225789607,0.6978066266047638,-422.49489374222895,857.5942273979908,-92.05737824699662,0,0,0.8969508500286312,0
5,-3.5120081369463545,-1.0976728053971447,-1.724756862749227,-1.0525946838430618,4.316124428836324,-848.2377562624249,862.292003699738,-86.91635179170171,5,5,5.502919964613796,2
5,-0.657060261301947,-1.0724951653595824,-2.6761231667409278,-0.8231722473463168,4.138860281961507,-393.80488927327787,860.9748107282159,8.151832076254266,5,5,5.415008699924168,2
5,-1.3731282681611146,-1.0571898481612618,-1.2433042850526834,-1.382563058211471,4.120684182471589,-67.24394846089058,860.8720381062052,83.86675425228282,5,5,5.408360266844754,2
0,0.1712749953041631,-1.0561865656165137,0.3831838605971135,0.2172630697562987,0.362287422298422,-270.9554098282388,856.8308673899402,-41.091194413468486,0,0,0.6470024355969745,0
5,-3.4690878270163177,-1.0436154793396168,-1.8245581302396512,-1.6926383423952829,4.032459796755496,-571.5498536439607,860.192459820675,96.7974882554541,5,5,5.400158474929535,2
5,-1.012198468764164,-1.034713476108868,-1.3146380158059554,-2.152697775642544,3.440042568366331,-35.850938320785446,856.02461896298,-90.3686515690801,5,5,5.2273278347233845,2
5,-1.2337667084216757,-1.0237736828658264,-1.6028799058128471,-1.979036197780772,4.018572087856745,-329.070116272777,862.6509606257694,-52.61097751633227,5,5,5.388361110289865,2
0,0.259267175515836,-1.0087071634680362,-0.0501432778185375,1.4791648759562763,0.8671461490765431,-833.0971727948786,860.2843872833288,-34.00119535103866,0,0,1.148416159393829,0
0,1.0849920228566583,-0.9982265455718796,-0.1767756796265784,0.0851441821535174,0.5798587717672729,-345.91804802436326,856.4140151646553,85.87171923417382,0,0,0.850489368769584,0
0,-0.4146161746189179,-0.9902523990614792,0.1627709086937785,0.3914996489823344,0.862910306547613,-245.07431186077596,863.3985579875823,70.58652907807617,0,0,1.137685204919971,0
0,1.7523645006479829,-0.9713508902301856,-1.4439056805316153,-0.1471866690821433,1.6770652302822155,-862.5331118430431,863.2038405367537,-63.335986354025096,0,0,1.8744865134027255,1
0,-1.182817592293942,-0.960237125644621,-1.0435756004038823,-0.1965944512687554,1.3711497748230947,-81.12169587726919,861.4890717355843,79.2780613086069,0,0,1.5994817651577804,0
3,0.0481807966632461,-0.9208112668956056,-0.3929087767205788,-0.5697390913408349,5.6535097212497325,-692.453319174645,856.6475777798827,10.325291824903644,2,2,5.814862813138112,2
