      0.243155763940; 1;2;6;7
      0.240572565564; 1;2;3
      0.235712157429; 0;1;2;6;7
      0.235563271605; 1;2
      0.235041338655; 4;5;6
      0.233737716076; 0;3;4;7
      0.233459781952; 0;3;4;6;7
      0.233358395398; 0;1;3
      0.231406135345; 1;2;3;7
      0.231388513400; 1;2;5;6
      0.229439701534; 0;1;3;4
      0.228115346130; 2;4;5;6
      0.226581790123; 0;3
      0.226120952605; 3;4;6;7
      0.225501543210; 1;3
      0.225241029333; 0;4;6;7
      0.225010738860; 1;2;4
      0.223322676440; 0;1;2;6
      0.222022898326; 1;2;7
      0.220850259796; 0;1;5
      0.220159790502; 1;3;7
      0.219822357715; 0;1;2;3
      0.219466411874; 0;1;4
      0.219455737958; 0;1;4;6
      0.219323178494; 0;4;6
      0.218454869319; 3;4;5;6
      0.217695148896; 1;2;6
      0.217571186388; 1;3;4
      0.217227004048; 0;2;3;4;7
      0.216518260058; 2;4;5
      0.216477339344; 1;2;3;6;7
      0.216048302828; 1;4;6
      0.215952982685; 0;1;3;4;6;7
      0.215056306043; 0;1;3;7
      0.214305555556; 2;4
      0.214036498771; 0;1;4;6;7
      0.213836785166; 0;3;6;7
      0.213834341740; 1;4;5;6
      0.213560694603; 1;3;5
      0.213408921626; 4;5;6;7
      0.213291051590; 0;2;4;6;7
      0.212839269801; 2;3;5;6
      0.212798586380; 2;3;6
      0.212622536481; 2;3;4;7
      0.212561807203; 0;1;3;4;6
      0.212389928291; 2;4;6;7
      0.212290650865; 0;1;3;4;7
      0.211736326954; 1;2;3;5;6
      0.211728395062; 0;5
      0.211676005337; 2;4;5;6;7
      0.211352603050; 0;2;3;4;6;7
      0.211296637011; 0;1;4;5
      0.211168905894; 1;2;4;5;6
      0.211150358390; 2;5;6
      0.211097974290; 0;4;5;6
      0.210421912812; 2;3;4;5
      0.210012802138; 0;1;2;7
      0.209707582108; 0;1;2;4;5;6
      0.209667967980; 1;3;4;5;6
      0.209555633735; 0;2;3;6;7
      0.209467592593; 1;4
      0.209215558064; 1;2;3;6
      0.209173793262; 2;3;6;7
      0.209143518519; 0;1
      0.208308388879; 1;2;3;4;7
      0.208256506796; 1;2;3;4;5
      0.207500740006; 1;3;6;7
      0.207315815335; 0;1;2;4;6
      0.207283950617; 6;7
      0.207245481533; 0;3;4
      0.207142177558; 0;4;5
      0.207040207370; 2;3;5;7
      0.207033420226; 1;2;4;6
      0.206981410126; 1;4;5
      0.206861815747; 1;3;4;6
      0.206750669409; 0;1;2
      0.206586672977; 0;1;3;6
      0.206417711964; 0;3;4;5;6;7
      0.206147492877; 0;3;4;5
      0.205980730803; 1;2;3;4;6;7
      0.205976625755; 0;2;4;6
      0.205821307264; 1;3;4;6;7
      0.205711269648; 0;3;5
      0.205702160494; 2;3
      0.205650371699; 0;2;3;4;5;6;7
      0.205582155341; 0;6;7
      0.205373255128; 0;1;2;3;7
      0.205358455347; 0;4;7
      0.205043643317; 3;4;5
      0.205038580247; 3;7
      0.204803554798; 0;3;4;6
      0.204798183032; 0;5;6;7
      0.204545801965; 0;1;7
      0.204404001627; 2;3;5
      0.204016130174; 0;1;2;4;7
      0.203772096617; 1;2;5;6;7
      0.203674111125; 1;3;4;5
      0.203503086420; 2;6
      0.203384630107; 1;3;4;7
      0.203329611913; 0;1;2;5
      0.203117283951; 4;6
      0.202945942257; 1;2;3;4
      0.202931577505; 1;2;4;6;7
      0.202790060475; 3;5;6;7
      0.202577143044; 2;3;4;6;7
      0.202492283951; 1;7
      0.202324088448; 1;5;7
      0.202267116495; 2;3;4;5;6
      0.202242641838; 0;1;2;3;6
      0.202173755898; 0;1;3;5
      0.202037037037; 2;7
      0.201886566654; 2;3;4;5;7
      0.201883137693; 2;6;7
      0.201877979946; 0;2;3;4;5;7
      0.201601130489; 0;3;5;6;7
      0.201517170757; 1;2;4;5
      0.201400537325; 0;1;4;7
      0.201136935323; 0;1;2;4;6;7
      0.201048696843; 0;1;2;3;4;6;7
      0.200817901235; 0;4
      0.200668966560; 0;1;6;7
      0.200537551832; 0;2;3;4;6
      0.200455155352; 0;2;3;7
      0.200407845196; 1;2;4;7
      0.200309470916; 1;2;3;4;5;6
      0.200296783473; 2;3;4
      0.200255950018; 0;1;6
      0.200162217341; 0;1;2;3;4;5
      0.200137809027; 3;4;7
      0.199687738808; 1;2;4;5;6;7
      0.199593665615; 0;2;4
      0.199521604938; 4;5
      0.199447451269; 0;2;3;4;5;6
      0.199294397968; 1;2;3;5
      0.199203589414; 0;1;4;5;6
      0.199187141524; 0;1;2;5;6
      0.198729845663; 1;3;5;6
      0.198722644258; 0;1;2;3;4;6
      0.198511991415; 0;1;2;3;5
      0.198408139232; 0;1;2;3;4;5;6
      0.197920687389; 0;1;2;3;4
      0.197796209315; 2;3;4;6
      0.197469910390; 0;4;5;6;7
      0.197233297672; 0;1;2;4;5;6;7
      0.197076681937; 1;2;3;5;6;7
      0.196875674267; 0;3;7
      0.196717924242; 2;3;4;5;6;7
      0.196604938272; 5;6
      0.196395042178; 0;2;3;4
      0.196280835505; 0;1;2;4;5
      0.196265041266; 0;1;3;6;7
      0.196057326238; 0;1;2;3;6;7
      0.195965280109; 1;3;6
      0.195937450999; 0;2;4;7
      0.195887345679; 0;7
      0.195836413754; 0;5;7
      0.195498512905; 1;2;4;5;7
      0.195439814815; 2;5
      0.195097568592; 1;6;7
      0.195092925151; 0;1;3;4;5
      0.194982991441; 4;6;7
      0.194898808440; 1;2;5
      0.194806822396; 0;1;3;4;5;7
      0.194782611300; 0;1;4;5;6;7
      0.194582985595; 5;6;7
      0.194256936735; 0;1;2;4;5;7
      0.193504911627; 0;3;4;5;6
      0.193499366384; 0;1;2;4
      0.193151499367; 0;2;3
      0.192971151821; 0;3;4;5;7
      0.192970320968; 2;4;6
      0.192889925072; 2;3;7
      0.192677956188; 1;2;3;4;6
      0.192604458835; 0;2;4;5;6;7
      0.192561295534; 3;4;5;6;7
      0.192513020758; 0;2;5
      0.192362753532; 2;4;5;7
      0.192322530864; 3;4
      0.192199902035; 1;3;5;7
      0.192183761995; 0;2;6;7
      0.192131080910; 3;4;5;7
      0.191975308642; 5;7
      0.191847913515; 1;5;6
      0.191665390584; 3;5;6
      0.191525207218; 0;2;3;4;5
      0.191231572632; 1;2;3;4;5;7
      0.191216141138; 0;1;5;7
      0.191180400258; 1;3;4;5;6;7
      0.191163044028; 0;3;6
      0.191141019532; 3;6;7
      0.191051707467; 0;2;4;5
