      0.293438116265; 0;1;4
      0.281853299693; 0;1;4;7
      0.279674369748; 0;4
      0.275841026835; 0;2;4
      0.273427282083; 0;1;3;4;7
      0.269082339724; 0;1;2;3;4;7
      0.265083550265; 0;2;3;4;7
      0.264758403361; 0;1
      0.264389280783; 0;1;2;4;7
      0.263373688747; 1;3;4;5
      0.260448466480; 0;4;5
      0.258154366317; 0;1;2
      0.257656680523; 0;1;4;5
      0.256649374038; 0;1;3;4;6;7
      0.256488669913; 0;1;2;4
      0.256425466089; 0;4;7
      0.254959351364; 1;2;3;4;5
      0.254390879975; 0;1;2;7
      0.251149069283; 0;1;3;4
      0.250931658542; 0;1;3;4;5;7
      0.249916357207; 1;2;4;5;7
      0.249493411860; 0;1;3;4;5;6;7
      0.249348560495; 0;2;3;4
      0.249160802648; 0;1;2;3;4
      0.248527914767; 2;5;7
      0.248483104314; 1;2;4;7
      0.248458454128; 0;1;2;4;6;7
      0.247371465952; 0;2;3;4;5
      0.247342846266; 1;2;3;4;7
      0.246376050420; 1;4
      0.246061645999; 0;1;2;3;4;5
      0.246052113006; 0;1;7
      0.245777966830; 0;2;4;5
      0.245321737705; 0;2;4;7
      0.245297376342; 2;3;4;5;7
      0.243977098409; 0;1;2;3;4;5;7
      0.243765737106; 1;2;3;4
      0.243698868469; 0;1;4;6;7
      0.243631261197; 1;4;7
      0.243474382515; 0;1;2;4;6
      0.243261053355; 0;4;6
      0.243197067896; 1;2;4
      0.241885101998; 1;2;7
      0.240402132267; 0;1;3;4;5
      0.240324608656; 0;3;4;5;7
      0.239924190318; 1;2;3;4;5;7
      0.239595168033; 0;1;6
      0.239414582150; 2;3;4;5
      0.239012938773; 0;2;6
      0.238980801276; 0;1;4;5;6
      0.238913436237; 0;1;5
      0.238525546693; 0;3;4;5
      0.238188725318; 1;3;4;6;7
      0.237492499202; 0;3;4;6;7
      0.237226547962; 1;2;3;4;5;6
      0.237056322161; 1;3;4;5;7
      0.236973914115; 0;2;3;4;5;7
      0.236841837256; 0;1;4;5;7
      0.236458943662; 0;1;3;4;6
      0.236109055848; 1;4;5
      0.235984698136; 0;1;2;3;4;6;7
      0.235830981239; 0;2;5
      0.235241596639; 0;2
      0.235094544602; 0;1;2;4;5
      0.234999313079; 0;1;2;3;7
      0.234838584704; 1;4;5;7
      0.234518078370; 0;1;6;7
      0.234370901158; 1;2;4;5
      0.234342780585; 0;3;4;5;6;7
      0.234195384853; 1;2;4;6
      0.233750000000; 4;7
      0.233539915966; 3;6
      0.233402605478; 0;2;4;6
      0.233274351725; 0;1;2;3
      0.232577830666; 1;2;3;5;7
      0.232531537692; 0;3;4
      0.232182837587; 1;3;4;7
      0.232026113824; 0;3;4;7
      0.230840336134; 5;7
      0.230671800422; 5;6;7
      0.230437874690; 1;4;5;6
      0.230032883525; 3;4;5;7
      0.229997667666; 1;4;5;6;7
      0.229869782350; 0;4;6;7
      0.229323288609; 0;1;3;7
      0.229238111562; 1;3;5
      0.229003649816; 0;1;4;6
      0.228199279865; 2;3;5;6;7
      0.228177625479; 0;1;2;6
      0.227944384133; 1;2;4;5;6
      0.227718392418; 0;2;5;6;7
      0.227572208450; 1;3;4;5;6
      0.227566013235; 0;1;2;5
      0.227190978803; 0;2;3;6
      0.226401567301; 0;1;3;6
      0.226308043865; 0;2;4;6;7
      0.226144286055; 1;2;4;5;6;7
      0.225313219417; 0;1;5;6
      0.225310575046; 1;2;3;5
      0.225032419470; 0;2;3;4;6;7
      0.224732412625; 0;1;2;6;7
      0.224708394718; 0;2;6;7
      0.224614947918; 0;1;2;3;6
      0.224427711822; 2;3;4;5;6
      0.224405252470; 0;2;5;6
      0.223886554622; 0;6
      0.223597931480; 2;5;6
      0.223331150810; 0;1;3;5
      0.223077436452; 1;2;4;6;7
      0.223036622390; 2;3;5;7
      0.222999941106; 0;2;7
      0.222335441433; 0;2;3;5;7
      0.222095489478; 3;4;5;6;7
      0.221452735646; 3;5;7
      0.221074573310; 0;1;2;4;5;6
      0.220706477346; 2;3;5;6
      0.220584188687; 3;4;7
      0.220529054752; 0;1;2;3;5
      0.220256976769; 0;1;3;6;7
      0.220150413828; 1;2;3;4;6
      0.219885891757; 0;1;2;3;4;6
      0.219792031970; 3;5;6;7
      0.219790424874; 0;1;3
      0.219770456668; 0;2;3;5;6
      0.219684574413; 0;2;3;4;5;6
      0.219631837933; 0;4;5;6;7
      0.219417742388; 2;3;7
      0.219258303874; 0;1;3;4;5;6
      0.219014775257; 1;3;4
      0.218873107199; 2;3;5
      0.218704505634; 2;3;4;7
      0.218533211886; 1;5;6;7
      0.218365490024; 0;4;5;7
      0.218282841256; 0;3;5;6
      0.218163324335; 3;4;5
      0.218113382876; 0;2;3;4;5;6;7
      0.217981567976; 0;1;2;4;5;7
      0.217429390871; 1;4;6;7
      0.217090998226; 0;2;3;5
      0.216557523316; 2;3;4;6;7
      0.216557341051; 1;5;7
      0.216256078888; 3;4;6;7
      0.216093080122; 1;2;3;5;6
      0.216070469950; 0;2;3
      0.215876152657; 0;4;5;6
      0.215849633210; 2;3;4;6
      0.215764996441; 4;6;7
      0.215590153139; 0;1;3;5;7
      0.215525210685; 0;1;2;3;4;5;6
      0.215189075630; 1;2
      0.215056266661; 0;6;7
      0.215048398669; 1;2;5;6
      0.214792602006; 0;1;2;5;6
      0.214696194329; 0;1;3;5;6
      0.214605556251; 0;1;2;3;4;5;6;7
      0.214227828501; 2;5;6;7
      0.213617783360; 1;3;5;7
      0.213603893355; 0;1;5;6;7
      0.213572544586; 0;2;4;5;6
      0.213569323221; 3;5;6
      0.213552002736; 3;6;7
      0.213546176046; 1;5;6
      0.213493653405; 0;3;5;6;7
      0.213486483404; 0;1;2;5;7
      0.213423131478; 4;5;6
      0.213054374719; 1;2;5;7
      0.212943293076; 2;4;5;6
