      0.404044566545; 0;1;2;3;4;5
      0.387386946387; 1;2;3;5
      0.383480769231; 0;2;3;4;5
      0.377091269841; 2;3;5;7
      0.374750000000; 1;2;3;5;6;7
      0.371598595849; 0;1;2;5;7
      0.367840048840; 0;1;4;5;6;7
      0.366240231990; 0;2;4;5
      0.364185592186; 2;5;6;7
      0.363368742369; 1;3;5;6
      0.359920995671; 0;1;4;6;7
      0.359175518926; 1;4;5;6
      0.358405982906; 1;2;3;4;5;7
      0.358016788767; 0;1;2;4;5
      0.357159951160; 0;1;2;4;5;7
      0.356787462537; 2;3;4;5;7
      0.356659340659; 0;2;5;6;7
      0.356254578755; 1;2;4;5;6;7
      0.356168498168; 0;1;2;4;5;6;7
      0.355093406593; 1;3;4;5;6;7
      0.355051892552; 0;1;2;4;5;6
      0.354832722833; 1;2;3;5;7
      0.354212148962; 0;2;5;7
      0.354129731380; 2;3;4;5
      0.349555860806; 0;1;2;5;6;7
      0.348552808303; 1;2;3;4;5;6;7
      0.348081196581; 0;1;6;7
      0.347851953602; 2;4;5;7
      0.347023809524; 0;1;2;3;4;5;6
      0.346992340992; 0;1;4;5
      0.346903235653; 0;1;2;4
      0.346770285270; 0;1;2;3;5;6;7
      0.346708180708; 0;1;3
      0.346658202908; 0;1;4
      0.346140359640; 1;3;4;7
      0.345453629704; 0;1;3;4;5;6
      0.345350566101; 1;3;4;6;7
      0.345316211566; 0;1;3;5
      0.345254578755; 0;1;5;6;7
      0.345233211233; 2;4;6;7
      0.344879120879; 0;1;2;3;5;7
      0.344063464313; 0;2;3;5
      0.343867521368; 0;3;5;6
      0.343739787990; 1;4;5;6;7
      0.343076007326; 0;1;4;6
      0.342888888889; 0;1;2;3;4;5;7
      0.342229381729; 0;1;3;5;6
      0.341096459096; 0;1;4;7
      0.340824925075; 0;1;3;6
      0.340790903541; 0;1;2;4;6;7
      0.340252386502; 1;2;3;4;5
      0.340021978022; 1;4
      0.339497557998; 0;1;3;4;5;6;7
      0.337960317460; 0;2;3;4;5;7
      0.337901098901; 0;1;4;5;6
      0.337338744589; 1;4;6;7
      0.337146436896; 0;1;2;6
      0.336043678544; 0;2;3;5;7
      0.335387667888; 0;1;3;4;6;7
      0.334357753358; 4;5;6;7
      0.334152014652; 1;4;7
      0.334069513820; 1;2;5;6;7
      0.333606865357; 0;1;2;4;7
      0.333366244866; 0;2;4;5;7
      0.332883533134; 0;1;5;6
      0.332861416361; 1;2;3;4
      0.332802808303; 0;1;3;4;5
      0.332797008547; 0;2;4;5;6;7
      0.332754218004; 2;3;4;5;6;7
      0.331995254745; 2;3;5;6;7
      0.331929181929; 0;1;2;3;5
      0.331679487179; 0;1;5;7
      0.331652847153; 1;3;4
      0.331359584860; 0;2;3;5;6;7
      0.331112470862; 1;3;5;7
      0.330999528250; 3;4;6;7
      0.330878815629; 1;3;4;6
      0.330587912088; 0;1;3;4;6
      0.330579559330; 0;1;6
      0.329656149406; 0;5;6
      0.329416666667; 2;4;5;6;7
      0.329114774115; 0;1;3;6;7
      0.329026556777; 2;3;4;5;6
      0.328548840049; 1;2;3;4;6;7
      0.328495726496; 1;2;4;5;7
      0.328429903430; 1;3;4;5;7
      0.328210150960; 0;1;3;5;6;7
      0.328190503941; 1;3;5
      0.327615079365; 1;2;4;7
      0.327196886447; 0;5;6;7
      0.327136613387; 1;2;3;4;5;6
      0.324765817516; 0;2;4;7
      0.324751748252; 1;3;4;5
      0.324344377844; 2;3;5;6
      0.324159729160; 1;3;6
      0.324115578866; 0;3;4;5
      0.323635225885; 1;2;5
      0.323384559885; 0;1;2;5
      0.323314241314; 1;2;4;6;7
      0.323130480630; 2;5;7
      0.322885836386; 5;6;7
      0.322702075702; 0;3;4;5;7
      0.322464285714; 4;6;7
      0.322146825397; 1;2;3;4;7
      0.321837606838; 3;5;6;7
      0.321648351648; 3;5
      0.321606254856; 3;4;5
      0.321322039072; 1;3;6;7
      0.321283577534; 0;1;2;3;4;7
      0.321259157509; 0;4;5;7
      0.320885531136; 3;4;5;7
      0.320733516484; 0;4;6;7
      0.320360500611; 1;2;4;5;6
      0.320030858031; 1;2;3;5;6
      0.319489010989; 3;6;7
      0.319160866911; 0;1;2;7
      0.319068764569; 0;1;2;5;6
      0.318992840493; 1;2;3;6;7
      0.318751831502; 0;2;3;4;5;6;7
      0.318359251859; 0;1;3;7
      0.318150321900; 0;3;4;6
      0.318017316017; 0;1;2;3;4
      0.317929459429; 1;2;3;4;6
      0.316551143301; 0;1;2;6;7
      0.316381868132; 0;1;3;4;7
      0.316123015873; 1;5;6;7
      0.315892940393; 1;4;6
      0.315246031746; 3;4;5;6;7
      0.315098901099; 0;6
      0.313838522589; 0;1;4;5;7
      0.313706043956; 0;2;3;4;5;6
      0.313229076479; 1;2;3
      0.313195665446; 1;2;5;7
      0.312908730159; 0;2;4;6
      0.312593406593; 0;1
      0.312361888112; 1;2;4;5
      0.312344322344; 0;1;2;4;6
      0.311626956377; 0;3;5;6;7
      0.311445970696; 0;2;3;4
      0.311370879121; 0;1;2;3;4;6;7
      0.310796592297; 2;4;5;6
      0.310789682540; 1;3;4;5;6
      0.310785159285; 0;1;2;3;5;6
      0.310725052725; 0;5;7
      0.309871434121; 1;3;5;6;7
      0.309210539461; 0;1;3;4
      0.309120879121; 6;7
      0.308774697525; 0;4;6
      0.308390720391; 0;1;2;3;6;7
      0.307274336774; 0;4;5
      0.307073565324; 0;3;4
      0.306560994561; 2;3;5
      0.306462731713; 3;4;5;6
      0.306014652015; 0;2;3;7
      0.305908424908; 1;2;4;6
      0.305303196803; 0;2;3
      0.304718864469; 0;1;2;3;4;5;6;7
      0.303723137973; 1;2;6;7
      0.303720085470; 0;2;5;6
      0.303290598291; 0;4;5;6
      0.303286047286; 2;3;4;6
      0.302981074481; 0;1;3;4;5;7
      0.302869658120; 0;3;5;7
      0.302791208791; 0;2
      0.302477550228; 4;5;6
      0.302347791098; 1;2;4
      0.302277306027; 3;5;6
      0.302270146520; 0;2;5
      0.302178432678; 0;2;3;5;6
      0.302164640915; 0;1;2;3;4;6
      0.300505494505; 2;5
      0.300219530470; 0;3;4;5;6;7
      0.300034826285; 0;2;4;5;6
      0.299806499056; 0;2;4
      0.299318681319; 4;5
      0.299310245310; 1;4;5
      0.298959706960; 3;5;7
      0.298609501610; 0;3;6
      0.298381840382; 0;2;3;6
      0.298044261294; 0;1;5
      0.297840576091; 2;4;6
      0.297819291819; 1;2;3;6
      0.297579892330; 2;3;4;6;7
      0.296511322011; 0;3;6;7
      0.296358474858; 0;4;5;6;7
      0.295876567877; 2;3;7
      0.295773726274; 1;2;3;7
      0.295331501832; 0;2;6;7
      0.295148740149; 0;1;3;5;7
      0.294208957709; 0;3;4;5;6
      0.293913197913; 2;5;6
      0.292695665446; 0;2;4;6;7
      0.292664224664; 1;4;5;7
      0.292238400488; 2;3;4;7
      0.292148656899; 0;3;4;7
      0.291485597736; 0;3;5
      0.291208791209; 1;3
      0.290439560440; 0;4
      0.290013347763; 1;2;5;6
      0.289940975691; 2;6;7
      0.289273504274; 1;6;7
      0.289072344322; 3;4;6
      0.288926739927; 0;2;3;6;7
      0.288857448107; 0;2;3;4;7
      0.287868131868; 5;7
      0.287699023199; 0;2;3;4;6;7
      0.287428571429; 2;3
      0.286963064713; 0;1;2;3;6
