      0.259833333333; 2;5
      0.256270872918; 2;3;4;6
      0.254629730564; 1;5;6;7
      0.253395624800; 2;3;5;6;7
      0.252425574426; 2;3;4;5
      0.251623252564; 1;2;5
      0.249635709062; 2;3;4
      0.247583333333; 2;6
      0.247486276795; 1;2;4;5
      0.247290002782; 2;4;6;7
      0.245925568712; 0;2;4
      0.245861393852; 0;2;3;4
      0.245573007874; 1;3;4;5;6
      0.245440841838; 1;2;5;6;7
      0.244750000000; 2;4
      0.244333333333; 3;4
      0.244304971173; 1;3;4;5;7
      0.243610343088; 2;3;6
      0.243120366562; 1;2;4
      0.242691646589; 1;2;3;5
      0.242141053391; 2;3;5;6
      0.241955452056; 2;5;6;7
      0.241863204305; 2;3;6;7
      0.241833333333; 0;4
      0.241684930567; 0;2;3;5;6;7
      0.241416666667; 4;7
      0.241216032334; 0;2;5
      0.241174823542; 1;4;5;6
      0.240916666667; 1;4
      0.240388378778; 3;4;5;6;7
      0.240308233691; 1;2;5;6
      0.240268605577; 2;5;6
      0.240170114887; 2;4;7
      0.239867567503; 1;3;4;5
      0.239814606962; 0;2;5;7
      0.239790584416; 2;3;4;6;7
      0.239241181204; 5;6;7
      0.239165106050; 0;1;3;4;5
      0.238588147147; 0;3;4;7
      0.238060152867; 1;2;3;4;6
      0.237759279120; 2;4;5;6;7
      0.237757214191; 1;3;4;5;6;7
      0.237375859521; 2;6;7
      0.237040071856; 1;4;7
      0.236870828518; 0;3;5;6;7
      0.236699121956; 1;3;5
      0.236423760880; 1;2;4;6;7
      0.235687368789; 2;4;6
      0.235435980686; 0;1;2;3;5
      0.234333333333; 6;7
      0.233645978205; 0;2;5;6
      0.233591602842; 1;6;7
      0.233539835165; 1;3;5;6
      0.233293166414; 2;3;4;5;7
      0.233284957689; 0;2;4;5;6
      0.233284146409; 1;4;5
      0.233172988776; 2;3;4;7
      0.233147790935; 0;2;3;5;6
      0.232997911918; 1;2;3;4;5
      0.232941478327; 0;2;3;5
      0.232702489762; 0;1;2;6;7
      0.232472863738; 0;1;3;5;6
      0.232434604912; 0;2;5;6;7
      0.232288197913; 1;3;4
      0.232124127506; 2;3;5
      0.231944347319; 1;5;7
      0.231753336962; 1;2;4;6
      0.231521284271; 2;4;5
      0.231324862229; 4;5;7
      0.231020012667; 0;2;3;4;6
      0.230089410589; 1;2;3;4;7
      0.230000000000; 1;3
      0.229430116452; 0;1;2;3;5;6;7
      0.229410747620; 1;2;3;5;6
      0.229296619230; 0;1;4
      0.229088025537; 0;2;4;5;7
      0.228903738290; 0;3;5;7
      0.228771555242; 0;2;4;6;7
      0.228764385125; 1;2;4;5;6
      0.228750137934; 0;5;6
      0.228324674508; 0;3;4;5;7
      0.228242773566; 1;2;3;6
      0.228085955711; 1;4;5;6;7
      0.227804556555; 3;4;7
      0.227673104673; 1;2;3;7
      0.227554199069; 0;1;2;4;5
      0.227150832827; 0;1;3;4;7
      0.226996048886; 1;2;3;6;7
      0.226916666667; 0;7
      0.226913270553; 0;4;7
      0.226583749068; 1;2;3;4;5;6
      0.226536297036; 1;2;4;5;7
      0.226516458344; 0;1;3;4;5;6
      0.226514906662; 0;1;2;4
      0.226441938823; 0;1;5;7
      0.226410875073; 1;3;5;6;7
      0.226098593228; 0;1;2;4;6;7
      0.225946883182; 1;2;3;4;6;7
      0.225824215001; 1;4;5;7
      0.225721535817; 3;4;5;7
      0.225525332511; 2;3;4;5;6
      0.225250000000; 4;5
      0.225220092773; 0;1;2;5;6
      0.225213306302; 1;5;6
      0.225177728317; 0;1;5
      0.225095684544; 3;4;5;6
      0.225089918252; 0;2;4;5
      0.225077087129; 0;1;2;3;4;6
      0.225045714090; 0;1;2;3;4;5;6;7
      0.224954861315; 0;1;2;3;5;6
      0.224910058079; 0;1;3;5
      0.224895581156; 1;2;3;4;5;7
      0.224834069525; 3;5;6
      0.224833333333; 2;7
      0.224773635120; 0;3;4;5;6
      0.224716262496; 0;1;2;4;5;6
      0.224633101977; 1;2;3;4;5;6;7
      0.224542943984; 0;1;2;5;6;7
      0.224531793112; 0;2;4;6
      0.224083333333; 3;6
      0.223666666667; 5;6
      0.223376372939; 2;4;5;6
      0.223159134983; 0;2;3;6;7
      0.223083333333; 3;5
      0.223031385281; 0;1;7
      0.222949437817; 0;1;2;3;4
      0.222496608440; 0;2;3;4;6;7
      0.222289418914; 4;6;7
      0.222173465423; 0;2;7
      0.222157990702; 2;3;7
      0.222086604572; 1;2;6
      0.221915211423; 2;5;7
      0.221751698465; 2;3;4;5;6;7
      0.221673932277; 0;1;4;5
      0.221632442721; 1;3;4;7
      0.221333333333; 1;5
      0.221221379111; 0;1;5;6;7
      0.221146672772; 0;1;5;6
      0.220845693522; 0;2;3;4;5
      0.220583333333; 0;6
      0.220298222074; 0;2;6;7
      0.220133735546; 0;3;4
      0.220032381834; 2;4;5;7
      0.219962881073; 1;2;3;4
      0.219936765032; 0;2;3;4;5;7
      0.219772019389; 0;1;2;3;4;5
      0.219723931126; 1;2;3;5;6;7
      0.219424771307; 0;1;2;5
      0.219352315168; 0;1;3;5;7
      0.219166666667; 5;7
      0.219119555109; 0;1;2;4;6
      0.219019720089; 0;2;3;4;7
      0.218993484457; 1;2;5;7
      0.218838831146; 0;1;2;3;4;5;6
      0.218542860734; 1;2;6;7
      0.218514913191; 0;1;4;5;6
      0.218150664695; 0;3;4;6;7
      0.218103508420; 0;4;5;7
      0.217806471306; 0;3;5
      0.217693830679; 0;1;4;7
      0.217635353209; 0;1;2;4;7
      0.217462144280; 2;3;5;7
