      0.228388888889; 2;7
      0.214818735498; 2;5;7
      0.212400632769; 0;1;3;4;6
      0.211870580804; 1;4;6;7
      0.211505160245; 1;2;4;6;7
      0.210956463802; 1;2;3;4;7
      0.209888163884; 1;2;3;5;7
      0.206979572494; 0;2;3;5;7
      0.206257495759; 1;2;3
      0.205833333333; 3;6
      0.205239857840; 0;1;3;6
      0.204661003159; 0;2;5;7
      0.204516689526; 1;4;5;7
      0.203475507072; 0;2;7
      0.203418794913; 1;2;4;7
      0.202722222222; 1;5
      0.202644429994; 1;2;3;4;6
      0.202544680742; 1;2;3;6;7
      0.202199296197; 0;2;3;5;6
      0.201777777778; 2;3
      0.201646491126; 0;4;7
      0.200574351209; 0;3;5;6;7
      0.199696803255; 1;3;4;6
      0.199360296954; 1;2;4;5;6
      0.199326813731; 1;2;4;5;7
      0.198918863872; 0;1;3;4;5;7
      0.198728043698; 0;1;5;6
      0.198680144136; 1;2;3;7
      0.198460089222; 1;2;3;4
      0.198142787307; 1;2;3;4;5;6;7
      0.198084016274; 0;1;5;6;7
      0.198080402589; 0;3;6
      0.197737095043; 2;3;5;7
      0.197721329094; 0;1;2;3;5;6;7
      0.197402416137; 0;4;6
      0.197006426832; 1;2;4;5;6;7
      0.196890779413; 1;4;5;6;7
      0.196889976729; 1;2;7
      0.196879052485; 1;3;4;5;6
      0.196871369481; 0;1;2;3;6
      0.195932176655; 0;2;5;6;7
      0.195864236549; 0;2;3;5;6;7
      0.195482203727; 0;1;3;4;7
      0.194492102583; 0;5;7
      0.194350798780; 0;1;4;6;7
      0.194314155152; 0;3;4
      0.194178886126; 0;2;4;7
      0.193962862660; 0;1;4;5;6
      0.193693980338; 1;3;4;7
      0.193594991003; 1;4;5
      0.193594420591; 0;1;3;5;6
      0.193555555556; 0;7
      0.193364091162; 0;1;2;3;4;5;7
      0.193226224769; 1;2;4;5
      0.193206025525; 0;1;4;7
      0.193146705376; 1;2;3;5;6;7
      0.193094052992; 1;4;7
      0.192821910249; 1;4;5;6
      0.192812615378; 0;1;2;3;5;7
      0.192786425061; 2;3;5;6;7
      0.192618461788; 1;2;5
      0.192613271319; 1;2;4
      0.192437151364; 1;2;3;5;6
      0.192277777778; 5;6
      0.192226291382; 0;5;6;7
      0.192205924962; 0;1;2;3;6;7
      0.191833333333; 4;6
      0.191755197861; 0;1;3;5;6;7
      0.191325176378; 1;2;3;4;6;7
      0.191320393905; 0;2;3;7
      0.191136079420; 2;4;7
      0.191085592094; 3;5;7
      0.190971593369; 1;3;4;6;7
      0.190888888889; 0;4
      0.190799070202; 2;4;5;7
      0.190762074408; 0;1;3;4
      0.190645249481; 0;1;2;3;7
      0.190611111111; 1;7
      0.190372184825; 2;3;7
      0.190339393660; 1;2;6;7
      0.190116945832; 1;2;5;7
      0.190111111111; 0;3
      0.190076603506; 0;1;2;4;7
      0.189666666667; 0;1
      0.189570562565; 0;1;3;4;5
      0.189459244502; 0;1;2;5;7
      0.189277777778; 0;6
      0.189167201625; 0;3;6;7
      0.189075895428; 0;1;2;3;5;6
      0.188935151942; 0;2;3;6
      0.188503112628; 2;3;4;7
      0.188388816521; 0;2;3;4;5;7
      0.188245991880; 0;4;5
      0.188102212318; 0;1;2;3;4
      0.188041443141; 2;4;6
      0.188035309832; 0;1;4
      0.187899284109; 1;3;4;5;7
      0.187877112395; 1;2;3;4;5;7
      0.187455417801; 0;1;3;6;7
      0.187387489959; 0;3;5;6
      0.187249548610; 0;1;2;3
      0.187001615757; 2;3;5
      0.186931259327; 1;5;6
      0.186902474489; 2;5;6;7
      0.186875440680; 0;1;2;4;6
      0.186555555556; 2;4
