      0.333985631686; 7;9
      0.297498078454; 3;7
      0.297436312017; 0;1
      0.282670463595; 8;9
      0.281360315757; 9;10
      0.273329882630; 7;8
      0.266010836824; 2;5
      0.264234844026; 3;9
      0.256104178929; 2;4
      0.243426290351; 3;6;7
      0.242856787581; 7;8;9
      0.242525326317; 7;10
      0.239609955226; 3;7;8
      0.235762554380; 0;3;7
      0.234616483154; 3;8;9
      0.234448934566; 3;7;9
      0.233587584622; 3;7;8;9
      0.232909475941; 0;3;9
      0.232036284319; 3;6
      0.229538133493; 6;7;9
      0.229047269699; 3;6;9
      0.228975711035; 7;9;10
      0.228531858027; 0;7;9
      0.227547554219; 8;9;10
      0.226539417651; 0;3
      0.224696554751; 0;3;6
      0.223844270312; 2;4;5
      0.223005011326; 2;7;9
      0.221703864996; 3;5;9
      0.221571755012; 2;3
      0.220510057819; 3;8
      0.220263128401; 3;9;10
      0.220079584509; 2;4;7
      0.219868778756; 0;3;7;9
      0.219044117083; 0;1;3
      0.217940408017; 3;7;10
      0.216572035488; 0;7;8
      0.215837553431; 2;3;6
      0.215266669174; 0;3;8
      0.213707766510; 2;3;4
      0.213591854106; 0;1;5
      0.213440874763; 0;1;3;6
      0.213180313679; 2;9
      0.212360618762; 3;5;7
      0.212122633829; 2;4;9
      0.211982723401; 0;7
      0.211319589578; 3;6;7;9
      0.210579965239; 1;3;7
      0.209536491722; 3;5;7;9
      0.209070131423; 2;3;9
      0.208150538379; 2;6
      0.207752305242; 3;7;9;10
      0.206791985644; 2;5;7
      0.206650767192; 3;4;7
      0.206443617353; 8;10
      0.205152499085; 0;1;4
      0.204925353782; 0;1;7
      0.204438907786; 2;5;6
      0.204329708319; 0;1;9
      0.204220860559; 1;7;8
      0.203801614012; 2;4;8
      0.203065783435; 2;3;7
      0.202720977738; 2;7
      0.202008100493; 6;8;9
      0.201716307893; 2;9;10
      0.201636044016; 0;3;6;8
      0.201554306379; 0;3;7;8
      0.201102627322; 3;6;8;9
      0.200369090876; 2;5;8
      0.200326390890; 0;7;8;9
      0.200226698551; 2;3;4;7
      0.200124558840; 0;3;6;9
      0.199909048807; 2;3;6;7
      0.199685270130; 0;1;6
      0.199591828307; 2;3;6;9
      0.199337383740; 0;3;6;7
      0.199089476215; 2;3;5
      0.199024556174; 0;1;10
      0.198573366347; 0;1;3;7
      0.198554580003; 2;3;8
      0.198477177273; 0;2;3;9
      0.198303592142; 1;3;6
      0.198212246894; 3;6;8
      0.198073196539; 0;3;5
      0.197859977473; 0;1;7;9
      0.197837816275; 0;6;7
      0.197829847446; 5;7;9
      0.197479376270; 0;1;3;9
      0.197001229324; 3;4;8
