      0.488776093310; 3;10
      0.441115454027; 3;9;10
      0.402677874620; 3;7;10
      0.368325161465; 3;8;10
      0.365141406626; 2;3;10
      0.355071719299; 3;7
      0.350652204246; 3;6;10
      0.348975163482; 1;3;10
      0.344390838413; 3;9
      0.340349729062; 3;5;10
      0.339815918377; 0;3;10
      0.327877600003; 3;4;10
      0.306640461382; 3;7;9;10
      0.303493509644; 7;9
      0.302984017045; 2;3;9;10
      0.293127978180; 3;8;9;10
      0.291964242394; 9;10
      0.289923319414; 3;6;7;10
      0.289513703306; 3;7;9
      0.285781172384; 0;1
      0.284900522334; 0;3;7;10
      0.279922458509; 0;3;9;10
      0.279732651598; 3;8;9
      0.279236675613; 8;9
      0.278241836143; 3;5;9;10
      0.275931939529; 3;7;8
      0.275112382698; 3;8
      0.273141671127; 7;10
      0.271460187177; 0;3;9
      0.270302215890; 3;6;9;10
      0.267644431145; 3;5;7;10
      0.264939032387; 2;3;8;10
      0.264572544589; 0;1;3;10
      0.262409158025; 2;3;9
      0.258921642690; 3;7;8;10
      0.257495230061; 3;7;8;9;10
      0.257197257046; 3;5;9
      0.257123824876; 3;4;7;10
      0.254707012904; 1;3;7;10
      0.254056749123; 3;6;7
      0.253305246215; 2;3;7;10
      0.253158641001; 2;3;4;10
      0.252818250781; 7;8
      0.252716041438; 2;3;5;10
      0.252186386886; 3;6;7;9;10
      0.251767634753; 3;4;9;10
      0.248579117778; 0;3;6;10
      0.247919571307; 3;5;7;9;10
      0.247384614288; 0;3;7;9;10
      0.247153018670; 1;3;9;10
      0.245638580645; 3;6;9
      0.245398510235; 7;9;10
      0.244630070015; 3;5;7
      0.244495675155; 0;3;4;10
      0.242650944712; 2;3;7;9;10
      0.242569748476; 0;2;3;10
      0.242542833095; 0;3;7
      0.242501679116; 1;3;9
      0.242356957886; 0;3;5;10
      0.241610818213; 6;7;9
      0.240866908234; 2;4
      0.240463543050; 0;1;3;9;10
      0.240289901283; 3;5;8;10
      0.238990752257; 3;4;7;9;10
      0.238913934823; 1;2;3;10
      0.238857966751; 3;5;7;8;10
      0.238351635635; 7;8;9
      0.237982410336; 0;3;8;10
      0.236613956751; 1;3;8;10
      0.236167208713; 0;3;8;9;10
      0.236142990070; 2;3;8;9
      0.234976176785; 1;3;7;9;10
      0.234887446308; 0;1;3;7;10
      0.234584257817; 3;4;7
      0.234120193094; 3;6;8;10
      0.233715790128; 1;3;7
      0.233434150641; 7;8;10
      0.233296450549; 0;2;3;7;10
      0.233141440085; 2;5
      0.232899720700; 2;3;6;10
      0.232573182822; 0;3;5;9;10
      0.232355509189; 0;1;3;8;10
      0.232062488093; 2;3;5;9;10
      0.231348326564; 0;2;3;9;10
      0.231319972119; 3;7;8;9
      0.230773076763; 3;4;9
      0.230133397712; 0;7;8
      0.230120550292; 3;4;5;10
