      0.583063623790; 3;10
      0.463980991502; 3;6;10
      0.450353736617; 3;9;10
      0.439438105118; 3;9
      0.433374663068; 3;7;10
      0.425076634417; 3;4;10
      0.408809270862; 0;3;10
      0.407809008890; 1;3;10
      0.402504121008; 2;3;10
      0.380957101403; 3;5;10
      0.375155246315; 3;8;10
      0.372677155670; 3;7;9
      0.372206085754; 3;7
      0.365352697095; 9;10
      0.350126210235; 0;1
      0.335382085722; 3;7;9;10
      0.329343645789; 3;4;9;10
      0.328908639831; 3;8;9
      0.319562904853; 7;9;10
      0.318514868603; 7;10
      0.316611915356; 3;4;7;10
      0.314945027466; 3;6;9;10
      0.313838335502; 1;3;7;10
      0.309004448888; 3;5;7;10
      0.308994179288; 3;6;7;10
      0.308366207840; 3;4;9
      0.306488628528; 3;8;9;10
      0.303265022456; 3;7;8;10
      0.298645974850; 3;5;9;10
      0.297866946606; 0;3;9;10
      0.294575613947; 3;4;6;10
      0.294436767016; 8;9;10
      0.293652700275; 1;3;6;10
      0.290231095289; 0;3;6;10
      0.288956034817; 2;3;9;10
      0.288044160001; 2;3;7;10
      0.287642006045; 0;1;3;10
      0.287226412642; 2;3;6;10
      0.286915533445; 3;5;9
      0.285839680407; 3;4;7;9
      0.284568349831; 1;2;3;10
      0.284104508890; 4;9;10
      0.283674302039; 1;3;8;10
      0.283544834499; 0;3;4;10
      0.283489104523; 2;3;8;10
      0.283460435997; 3;6;8;10
      0.281871058551; 6;9;10
      0.281554474214; 2;3;4;10
      0.280985477178; 8;9
      0.280557690889; 3;6;9
      0.279657068213; 1;3;9;10
      0.277130410145; 1;3;9
      0.276819150338; 3;6;7;9;10
      0.276462953488; 2;3;7;9;10
      0.274789648857; 3;6;7;9
      0.273482848535; 2;3;9
      0.273339124175; 0;3;7;10
      0.272978171497; 0;3;9
      0.272465421853; 7;9
      0.271793018510; 3;5;8;10
      0.271072580269; 0;1;5
      0.270243024487; 2;3;5;10
      0.269607538036; 2;5
      0.268966830248; 3;7;8
      0.268413658606; 2;3;6;7;10
      0.266202947845; 1;3;6;9;10
      0.266120775977; 5;9;10
      0.265509158899; 0;3;8;10
      0.265176087703; 3;7;8;9;10
      0.265146012815; 3;4;8;10
      0.264533972909; 2;9;10
      0.263061894882; 8;10
      0.262457488457; 0;1;4
      0.261188501607; 0;1;3;9
      0.260921551107; 3;6;7;8;10
      0.260887673680; 0;1;3;7;9
      0.260792567993; 0;1;3;9;10
      0.259923091673; 1;2;3;6;10
      0.259732021317; 1;9;10
      0.259672289352; 0;1;3;5;10
      0.258990054708; 3;7;8;9
      0.258724796618; 0;3;5;10
      0.258606019279; 4;7;9;10
      0.258288165633; 0;2;3;10
      0.258251865931; 0;1;10
      0.257664907938; 3;4;5;9;10
      0.257550129361; 0;1;6
      0.257421241248; 4;7;10
      0.257363357781; 0;1;3;6;10
      0.257131309309; 7;8;10
      0.256952270196; 1;3;5;10
      0.256643828907; 0;1;9;10
      0.256342504007; 1;3;4;10
      0.256234224526; 1;3;5;6;10
      0.256110762249; 2;3;7;9
      0.256062152323; 3;4;7;9;10
      0.255517217676; 0;3;7
      0.255419121453; 3;4;6;9;10
      0.255387237861; 1;3;7;9
      0.254997960693; 0;3;7;9
      0.254977949324; 3;5;7;9;10
      0.254661651198; 3;5;7;9
      0.254418462596; 0;9;10
      0.254042422363; 1;2;3;9;10
      0.253951718078; 3;5;6;9;10
      0.253914265421; 2;4;5
      0.253850850480; 2;3;4;9;10
      0.253485680819; 0;1;3;7
      0.253238187847; 0;3;6;7;10
      0.252985893802; 0;1;2;3;10
      0.252834492197; 3;4;5;7;9;10
      0.252548518689; 3;5;8;9;10
      0.252186664000; 2;3;5;9;10
      0.252094193447; 0;3;4;6;10
      0.251756569848; 2;4
      0.250634432318; 1;3;8;9;10
      0.250539593527; 0;1;7;10
      0.250316618566; 3;4;5;10
      0.250147871626; 3;5;7
      0.249951722547; 2;3;4;7;10
      0.249484115313; 3;4;8;9;10
      0.249369458628; 2;4;6
      0.249355411102; 2;3;4;7;9;10
      0.249321555944; 0;7;9;10
      0.248947663311; 1;3;4;9;10
      0.248401829763; 0;1;2;4
      0.248281769443; 1;3;5;9;10
      0.247982515505; 1;2;4
      0.247499473873; 2;3;7;8;9
      0.247184767622; 0;1;3
      0.247111093151; 2;3;8;9;10
      0.247097662446; 0;1;3;5;6;10
      0.246656124831; 2;7;9;10
      0.246429699235; 2;3;4;6;10
      0.246213319209; 1;3;4;5;10
      0.246201882356; 0;3;6;9;10
      0.246093155559; 1;2;5
      0.245762732079; 1;3;5;6;9;10
      0.245316390041; 3;8
      0.245217280111; 3;4;6;7;9
      0.245175313349; 2;3;7;8;10
      0.245068389623; 2;3;6;9;10
      0.244681648596; 0;1;2
      0.244619572506; 0;2;3;9;10
      0.244475716144; 3;6;8;9;10
      0.244410331521; 3;4;5;9
      0.244327329540; 1;3;4;7;10
      0.244115856303; 3;5;6;10
      0.244029371401; 1;3;7;9;10
      0.243791803720; 0;3;5;6;10
      0.243681709026; 3;4;5;7;9
      0.243408003208; 0;3;7;9;10
      0.243362047389; 2;3;7
      0.242914694779; 0;3;8;9;10
      0.242748660970; 3;6;7
      0.242659255235; 3;4;7;8;10
      0.242645478046; 0;3;4;7;10
      0.242581553623; 3;4;8;9
      0.242384453984; 0;1;3;8;10
      0.242261995353; 0;1;3;7;10
      0.241886846753; 0;1;3;4;10
      0.241770491380; 3;6;7;8;9
      0.241686722109; 0;1;7
      0.241462589897; 1;3;7;8;10
      0.241368338442; 3;4;6;7;10
      0.241221495910; 0;2;3;6;10
      0.240882091778; 0;1;2;5
      0.240693696208; 1;3;6;7;10
      0.240690197329; 0;1;2;3;8;9
      0.240514897059; 1;2;3;5;10
      0.240333364965; 1;2;3;7;9;10
      0.240277753657; 3;4;6;8;10
      0.240237585734; 3;4;6;7;9;10
      0.240100626428; 0;4;9;10
      0.239989688066; 6;7;9;10
      0.239585703429; 1;3;7
      0.239524370059; 3;4;7
      0.239419483945; 1;2;3;9
      0.239417646506; 1;7;9;10
      0.239234397024; 0;1;9
      0.239226362368; 1;2;3;4;9;10
